;Id;N_victimas;A�o;Mes;Dia;Hora;Calle;Altura;Cruce;Direcci�n;Comuna;Latitud;Longitud;Victima;Acusado
226;2017-0102;1.0;2017.0;8.0;24.0;1.0;IRIARTE, GRAL. AV.;;ZAVALETA;IRIARTE, GRAL. AV. y ZAVALETA;4.0;-58.40056767;-34.6510708;PEATON;CARGAS
227;2017-0104;1.0;2017.0;8.0;25.0;9.0;9 DE JULIO AV.;;ESTADOS UNIDOS;9 DE JULIO AV. y ESTADOS UNIDOS;1.0;-58.38109568;-34.61853244;PEATON;CARGAS
228;2017-0106;1.0;2017.0;8.0;31.0;19.0;FRAY JUSTO SANTAMARIA DE ORO;;GUEMES;FRAY JUSTO SANTAMARIA DE ORO y GUEMES;14.0;-58.42533612;-34.58035258;PEATON;PASAJEROS
229;2017-0107;1.0;2017.0;9.0;1.0;11.0;DEL LIBERTADOR AV.;;JARAMILLO;DEL LIBERTADOR AV. y JARAMILLO;13.0;-58.46062311;-34.54395182;MOTO;CARGAS
230;2017-0108;2.0;2017.0;9.0;2.0;4.0;PAZ, GRAL. AV.;;MACHAIN;PAZ, GRAL. AV. y MACHAIN;12.0;-58.49491054;-34.54795581;OBJETO FIJO;AUTO
231;2017-0109;1.0;2017.0;9.0;4.0;21.0;DIRECTORIO AV.;;PORTELA;DIRECTORIO AV. y PORTELA;7.0;-58.47130269;-34.63665402;MOTO;AUTO
232;2017-0110;1.0;2017.0;9.0;6.0;14.0;LAVALLE;;ALEM, LEANDRO N. AV.;LAVALLE y ALEM, LEANDRO N. AV.;1.0;-58.370488;-34.60189492;PEATON;PASAJEROS
233;2017-0111;1.0;2017.0;9.0;7.0;18.0;USPALLATA;;PIROVANO;USPALLATA y PIROVANO;4.0;-58.42023854;-34.6423411;PEATON;CARGAS
234;2017-0112;2.0;2017.0;9.0;10.0;9.0;AUTOPISTA 25 DE MAYO;;SD;AUTOPISTA 25 DE MAYO y VARELA AV.;7.0;-58.45807401;-34.6399743;AUTO;OBJETO FIJO
235;2017-0113;1.0;2017.0;9.0;11.0;6.0;SANTA FE AV.;;MAIPU;SANTA FE AV. y MAIPU;1.0;-58.37697717;-34.59573848;PEATON;PASAJEROS
236;2017-0114;1.0;2017.0;9.0;15.0;2.0;ALVEAR AV.;;DEL LIBERTADOR AV.;ALVEAR AV. y DEL LIBERTADOR AV.;2.0;-58.3910058;-34.5849866;AUTO;OBJETO FIJO
237;2017-0115;1.0;2017.0;9.0;19.0;18.0;PAVON AV.;;TREINTA Y TRES ORIENTALES;PAVON AV. y TREINTA Y TRES ORIENTALES;5.0;-58.42182126;-34.63089661;MOTO;BICICLETA
